date,cash,ticker,activity,interest ticker
2020-05-22 09:00:00,1000000,,,[]
2020-05-23 09:00:00,1000000,,,[]
2020-05-24 09:00:00,1000000,,,[]
2020-05-25 09:00:00,1000000,,,[]
2020-05-26 09:00:00,1000000,,,[]
2020-05-27 09:00:00,1000000,,,[]
2020-05-28 09:00:00,1000000,KRW-QKC,buy,['KRW-QKC']
2020-05-29 09:00:00,1000000,KRW-QKC,,['KRW-QKC']
2020-05-30 09:00:00,1000000,KRW-QKC,,['KRW-QKC']
2020-05-31 09:00:00,1000000,KRW-QKC,,['KRW-QKC']
2020-06-01 09:00:00,1000000,KRW-QKC,,"['KRW-QKC', 'KRW-ORBS']"
2020-06-02 09:00:00,1000000,KRW-QKC,,['KRW-QKC']
2020-06-03 09:00:00,1000000,KRW-QKC,,"['KRW-QKC', 'KRW-ANKR']"
2020-06-04 09:00:00,1200000.0,,surplus sell,"['KRW-ANKR', 'KRW-ORBS']"
2020-06-05 09:00:00,1200000.0,KRW-ANKR,buy,['KRW-ANKR']
2020-06-06 09:00:00,1200000.0,KRW-ANKR,,['KRW-ANKR']
2020-06-07 09:00:00,1200000.0,KRW-ANKR,,"['KRW-ANKR', 'KRW-ORBS']"
2020-06-08 09:00:00,1200000.0,KRW-ANKR,,['KRW-ANKR']
2020-06-09 09:00:00,1200000.0,KRW-ANKR,,['KRW-ANKR']
2020-06-10 09:00:00,1200000.0,KRW-ANKR,,['KRW-ANKR']
2020-06-11 09:00:00,1440000.0,,surplus sell,[]
2020-06-12 09:00:00,1440000.0,KRW-ORBS,buy,"['KRW-POLYX', 'KRW-ORBS']"
2020-06-13 09:00:00,1440000.0,KRW-ORBS,,"['KRW-POLYX', 'KRW-ORBS']"
2020-06-14 09:00:00,1440000.0,KRW-ORBS,,['KRW-ORBS']
2020-06-15 09:00:00,1440000.0,KRW-ORBS,,"['KRW-POLYX', 'KRW-ORBS']"
2020-06-16 09:00:00,1440000.0,KRW-ORBS,,"['KRW-POLYX', 'KRW-ORBS']"
2020-06-17 09:00:00,1440000.0,KRW-ORBS,,['KRW-ORBS']
2020-06-18 09:00:00,1440000.0,KRW-ORBS,,['KRW-ORBS']
2020-06-19 09:00:00,1440000.0,KRW-ORBS,,['KRW-ORBS']
2020-06-20 09:00:00,1440000.0,KRW-ORBS,,['KRW-ORBS']
2020-06-21 09:00:00,1728000.0,,surplus sell,[]
2020-06-22 09:00:00,1728000.0,KRW-ARK,buy,['KRW-ARK']
2020-06-23 09:00:00,1728000.0,KRW-ARK,,['KRW-ARK']
2020-06-24 09:00:00,1728000.0,KRW-ARK,,['KRW-ARK']
